"fare_amount","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","passenger_count","year","month","day","dayofweek","hour","timeofday","dist"
12,-73.995387,40.749482,-73.975789,40.748741,1,2014,10,2,5,13,"Mid-Day",1.65296115185854
12.5,-73.917399,40.746485,-73.973756,40.763836,1,2011,8,31,4,8,"Morning",5.1240951647941
7.5,-73.990815,40.730495,-73.978337,40.751085,1,2014,5,19,2,6,"Morning",2.51931999557522
6.9,-74.007443,40.732547,-73.991112,40.742312,5,2012,4,5,5,5,"Morning",1.75277340238963
5,-73.98874664,40.74495316,-73.99568176,40.74422073,2,2015,3,4,4,14,"Evening",0.589893066823803
10.5,-74.001135,40.730979,-73.984424,40.76463,1,2010,4,27,3,21,"Night",3.99786753491853
7.7,-73.968881,40.764533,-73.985311,40.748956,1,2011,2,22,3,11,"Mid-Day",2.21703317478783
11,-73.98105621,40.77426529,-73.95904541,40.78067398,2,2015,4,3,6,16,"Evening",1.98564448246079
5.7,-73.992826,40.751271,-73.982786,40.742432,1,2009,1,9,6,15,"Evening",1.29666783298584
9,-73.946852,40.775802,-73.96434,40.760703,1,2013,1,9,4,14,"Evening",2.23333230071797
13.5,-73.950655,40.783282,-73.984365,40.769802,1,2013,7,6,7,17,"Evening",3.20996164824023
7.5,-73.976512,40.765277,-73.977672,40.778052,1,2013,10,8,3,17,"Evening",1.42386989192502
9,-73.984977,40.752122,-74.000925,40.757982,2,2014,12,7,1,12,"Mid-Day",1.49301125397222
14,-73.9792099,40.7236824,-74.01746368,40.71139526,1,2015,5,17,1,8,"Morning",3.50152470044319
5.7,-73.983052,40.722588,-73.988022,40.733738,3,2011,6,9,5,0,"Night",1.30864558913763
10,-74.002581,40.739572,-73.99458,40.760682,1,2014,11,12,4,12,"Mid-Day",2.44216828455422
5.7,-73.993452,40.761447,-73.979662,40.759618,5,2010,6,4,6,14,"Evening",1.17912108101115
9.7,-73.970705,40.761643,-73.992833,40.727647,2,2010,11,8,2,20,"Night",4.21483743866697
14.1,-73.974492,40.751369,-74.010585,40.703364,1,2011,3,9,4,7,"Morning",6.14357466543422
7.7,-73.991607,40.76318,-73.982718,40.76239,2,2011,8,4,5,10,"Mid-Day",0.753778198887623
11.3,-74.00767,40.732177,-73.974663,40.758932,1,2010,3,22,2,10,"Mid-Day",4.07216556453447
8.5,-73.986681,40.725659,-73.977068,40.754504,1,2012,3,25,1,9,"Mid-Day",3.30808970230785
12.9,-73.965315,40.790852,-73.978195,40.766375,6,2012,6,5,3,9,"Mid-Day",2.92983156261885
9.5,-73.972195,40.765883,-73.967942,40.761951,1,2012,11,6,3,11,"Mid-Day",0.565205814144702
9,-73.982272,40.748357,-73.969325,40.763877,1,2014,5,22,5,18,"Night",2.04142912382373
10,-73.991797,40.735262,-73.975915,40.748697,6,2014,10,17,6,8,"Morning",2.00550361658427
35,-73.95331,40.787772,-73.944352,40.719772,2,2012,12,6,5,18,"Night",7.5988111829984
9,-73.96083,40.77308,-73.978372,40.774907,1,2012,12,6,5,18,"Night",1.49106318902365
17,-73.97339,40.743883,-73.954021,40.766063,1,2014,7,20,1,12,"Mid-Day",2.9570852315152
6.1,-74.000122,40.74308,-74.00615,40.734233,5,2009,1,25,1,18,"Night",1.10710381449135
14.5,-73.961598,40.716487,-73.960417,40.674963,2,2010,3,27,7,2,"Night",4.61833151306045
3.7,-73.966957,40.761268,-73.967912,40.765535,1,2011,1,5,4,17,"Evening",0.481237633129575
32.5,-73.872862,40.774105,-73.970593,40.764393,2,2012,5,11,6,15,"Evening",8.30076818099508
5.3,-73.995083,40.739527,-73.999599,40.726264,3,2010,1,3,1,10,"Mid-Day",1.52307644723433
11.5,-73.972018,40.750142,-74.006008,40.73622,5,2012,11,8,5,21,"Night",3.25518602791052
4,-73.993701,40.741569,-73.987999,40.748834,1,2013,11,23,7,23,"Night",0.939858100057655
10.5,-73.966473,40.7575,-73.993336,40.745051,1,2010,6,17,5,16,"Evening",2.65265340651296
17.7,-73.87082,40.773748,-73.808317,40.7003,1,2012,8,19,1,19,"Night",9.71764336696196
8,-73.990467432,40.737851404,-73.985644638,40.740117912,2,2013,1,17,5,17,"Evening",0.478139823585551
5,-73.971696,40.763378,-73.962035,40.776598,1,2013,5,10,6,16,"Evening",1.68011650395281
8,-73.988492,40.717977,-73.97818,40.737407,1,2014,1,6,2,21,"Night",2.32871312852084
7.3,-73.986588,40.72165,-74.008005,40.717167,2,2010,9,30,5,8,"Morning",1.87251272435312
6.5,-73.98213,40.774807,-73.973583,40.789645,5,2012,10,6,7,15,"Evening",1.80001898044611
8,-74.002843,40.733692,-73.987882,40.72859,1,2013,2,11,2,0,"Night",1.38240486273397
16.5,-73.983837,40.676052,-74.002522,40.723145,1,2014,9,12,6,23,"Night",5.46828253172362
49.57,-73.977023,40.7526,-73.79031,40.643783,2,2009,9,22,3,21,"Night",19.8536989926866
10.5,-73.988006,40.737723,-73.965699,40.766095,2,2012,2,3,6,13,"Mid-Day",3.6720097767552
22.5,-73.9882,40.75909,-73.923683,40.86861,5,2012,2,12,1,1,"Night",13.3336049229393
11.5,-73.947472,40.771227,-73.981832,40.760272,1,2012,12,21,6,6,"Morning",3.13965415536127
12.5,-73.984723,40.748023,-73.977245,40.757891,2,2014,11,1,7,16,"Evening",1.26521845613652
5.5,-73.950305,40.785607,-73.943587,40.789532,1,2013,1,26,7,18,"Night",0.7144007760008
6.5,-73.980735,40.747911,-73.97053,40.761998,1,2013,5,20,2,11,"Mid-Day",1.78675494170781
16.5,-73.99698639,40.75542831,-73.95319366,40.80210114,3,2015,5,31,1,7,"Morning",6.3663701567568
9,-74.00344849,40.73310089,-74.00800323,40.70721436,1,2015,2,15,1,22,"Night",2.90393199172931
8.9,-73.9578,40.768003,-73.981712,40.763392,1,2009,6,25,5,10,"Mid-Day",2.07805367879408
10.9,-73.983735,40.746697,-73.954411,40.772219,1,2009,7,23,5,17,"Evening",3.7621550615514
8.9,-73.98103,40.729782,-73.993011,40.752803,1,2011,3,19,7,15,"Evening",2.75163927185832
8.5,-73.963115,40.774034,-73.975251,40.760823,1,2011,5,6,6,11,"Mid-Day",1.7895555699155
17,-73.962458,40.759027,-73.986199,40.753397,1,2013,2,8,6,9,"Mid-Day",2.09539539748314
12.5,-74.003848,40.720855,-73.98098,40.668304,1,2010,8,24,3,1,"Night",6.15323887023748
52.5,-73.982265,40.762062,-73.76855,40.675135,1,2014,5,13,3,22,"Night",20.4410063176289
16,-74.005677,40.745547,-73.962663,40.794295,1,2014,10,25,7,21,"Night",6.51944864551427
8,-73.98548889,40.74728012,-74.00767517,40.74076843,1,2015,4,19,1,22,"Night",2.00443028190679
17.3,-73.950972,40.785633,-74.01024,40.720302,2,2010,5,17,2,7,"Morning",8.81454710366169
5.7,-74.00844,40.711253,-74.001313,40.731078,1,2011,10,26,4,3,"Morning",2.28479706714595
5.5,-73.98091125,40.74206543,-73.97698975,40.75165558,1,2015,4,18,7,9,"Mid-Day",1.11637386079563
16.5,-73.974938,40.762091,-74.003309,40.706195,2,2009,2,27,6,13,"Mid-Day",6.65919923432043
12.9,-73.980755,40.680558,-73.98911,40.726788,2,2009,7,16,5,20,"Night",5.18856393000212
10.1,-73.991245,40.739058,-73.992972,40.76768,1,2011,5,16,2,13,"Mid-Day",3.18594402534499
9.5,-73.992583,40.730417,-74.005352,40.740247,1,2013,8,9,6,21,"Night",1.53369944458408
4.5,-73.979872,40.749027,-73.976553,40.757498,5,2010,3,14,1,15,"Evening",0.982545564047844
6.5,-73.971541,40.764009,-73.975937,40.755971,1,2011,4,27,4,13,"Mid-Day",0.967438768392775
21.5,-74.00109863,40.72149658,-73.95943451,40.65306473,1,2015,1,30,6,0,"Night",8.38105695653918
8,-73.975189,40.759095,-73.98051,40.76761,1,2014,11,4,3,12,"Mid-Day",1.04752281989784
4.9,-74.003018,40.73978,-73.991533,40.733091,1,2009,12,27,1,21,"Night",1.22048593807434
5.7,-73.991037,40.750049,-73.980438,40.75193,2,2010,7,4,1,13,"Mid-Day",0.916990849199795
15.3,-73.949477,40.768018,-74.003118,40.733022,5,2011,6,12,1,13,"Mid-Day",5.96322397935439
14.9,-73.992214,40.758864,-73.9938,40.722718,1,2012,8,28,3,12,"Mid-Day",4.02147226933842
7,-73.999998,40.727087,-73.992448,40.735602,1,2012,11,11,1,18,"Night",1.14069727804158
35.5,-73.863891,40.770005,-74.007246,40.705533,1,2013,3,24,1,18,"Night",14.0454153965824
8.5,-73.954598,40.78676,-73.966013,40.768112,1,2014,8,13,4,8,"Morning",2.28550141963224
4.1,-73.982279,40.768364,-73.985968,40.762939,1,2011,1,21,6,18,"Night",0.67853561605388
11.7,-73.981496,40.781004,-73.99592,40.738813,1,2011,2,26,7,20,"Night",4.84616879181055
23,-73.997728,40.746099,-73.947656,40.829451,1,2013,6,22,7,2,"Night",10.18196885577
5.7,-73.982357,40.762498,-73.97321,40.755345,2,2009,6,6,7,23,"Night",1.10732371191105
5.3,-73.96707,40.769178,-73.954895,40.77821,1,2009,1,24,7,9,"Mid-Day",1.43517567942036
10.5,-73.94402313,40.77595901,-73.95504761,40.78507996,1,2015,2,27,6,7,"Morning",1.37486395901804
4.9,-73.982095,40.774001,-73.975373,40.787111,1,2009,3,25,4,14,"Evening",1.56378305050523
6.5,-73.98353,40.766992,-73.986255,40.779708,4,2010,9,10,6,18,"Night",1.43245335471361
11.3,-73.981154,40.729204,-74.007407,40.74851,2,2011,8,31,4,13,"Mid-Day",3.08232816425655
11.5,-73.963511,40.761732,-73.917488,40.739776,1,2013,4,12,6,4,"Morning",4.58149456588652
5.3,-73.983415,40.761844,-73.990414,40.756375,2,2009,5,29,6,9,"Mid-Day",0.846948876386635
5.7,-74.006055,40.733166,-74.002895,40.74553,1,2010,7,15,5,19,"Night",1.40035481956892
8.1,-73.952198,40.788107,-73.980767,40.774995,1,2009,9,7,2,18,"Night",2.81280085402362
6.1,-74.008083,40.719238,-73.99832,40.737977,1,2010,6,9,4,6,"Morning",2.24020583829991
9.3,-73.995636,40.746573,-73.984437,40.767145,1,2012,4,15,1,17,"Evening",2.47435592865013
5.7,-73.99049,40.755982,-73.974202,40.75421,4,2011,12,13,3,5,"Morning",1.38603019114727
16.5,-73.95485,40.76542,-74.00751,40.73877,2,2014,7,27,1,8,"Morning",5.33457960387279
17,-73.954462,40.764046,-73.994593,40.729272,2,2013,6,6,5,15,"Evening",5.13618952753678
24.5,-74.01278,40.707952,-73.997932,40.760632,6,2014,7,12,7,15,"Evening",5.98985402091641
6.1,-74.005278,40.735298,-73.986698,40.729892,1,2010,5,25,3,20,"Night",1.67697972534904
6,-74.004935,40.729625,-74.016156,40.71741,1,2012,9,8,7,0,"Night",1.65499221390528
3.7,-73.9787379366974,40.7533663115114,-73.9756113256333,40.7546936645092,5,2010,9,5,1,17,"Evening",0.301899945233005
4.5,-73.9265,40.765577,-73.937897,40.76451,3,2012,8,30,5,18,"Night",0.967141253459664
27,-73.987285,40.718622,-73.959295,40.778482,1,2013,5,2,5,7,"Morning",7.06141103732919
16,-73.996652,40.744495,-73.980253,40.737635,2,2014,2,5,4,0,"Night",1.57818337461197
16.1,-73.959222,40.763282,-73.9633,40.716935,1,2010,1,12,3,17,"Evening",5.16499097311035
15.7,-73.974895,40.751455,-73.981754,40.783542,2,2010,11,7,1,17,"Evening",3.61436745794745
26.9,-73.863072,40.768622,-73.982145,40.736167,6,2012,4,22,1,0,"Night",10.6595157232359
5.5,-73.989692,40.735497,-73.982012,40.739392,1,2013,1,5,7,21,"Night",0.778635155803401
6,-74.00031,40.747961,-73.993636,40.757229,1,2013,10,5,7,9,"Mid-Day",1.17391960557171
7.7,-74.00145,40.717487,-74.017455,40.709785,1,2009,11,16,2,23,"Night",1.5978560957586
12.9,-73.985185,40.72777,-73.980605,40.759143,1,2011,4,5,3,11,"Mid-Day",3.50979163912354
11.3,-73.993973,40.746577,-74.00506,40.709365,2,2012,4,25,4,20,"Night",4.24194427360277
42.5,-73.795677,40.807722,-73.978683,40.724365,2,2011,1,10,2,16,"Evening",17.9846755574801
5.7,-73.98637,40.74738,-73.975567,40.744572,2,2011,1,14,6,18,"Night",0.962144000440091
5.3,-73.948001,40.77854,-73.958566,40.778483,2,2012,4,2,2,8,"Morning",0.889608820546447
10.5,-73.954108,40.766901,-73.984133,40.743475,1,2010,2,10,4,8,"Morning",3.63059892542764
7.3,-73.994009,40.76144,-73.972811,40.792574,1,2011,5,31,3,22,"Night",3.89500369564675
4.5,-73.995331,40.739986,-73.987655,40.736707,1,2011,9,26,2,9,"Mid-Day",0.742418460068131
12.5,-73.982332,40.768633,-73.983343,40.744372,1,2012,10,23,3,8,"Morning",2.69904379349789
16.5,-73.9952,40.731697,-73.94977,40.780347,1,2013,9,7,7,22,"Night",6.62621097352557
4.9,-74.002707,40.72664,-73.991825,40.72722,2,2012,7,31,3,19,"Night",0.919254301566204
4.1,-73.990953,40.733067,-73.996235,40.72557,1,2011,8,26,6,8,"Morning",0.945004046269666
15.5,-73.985132,40.76853,-74.002285,40.730008,1,2013,3,17,1,12,"Mid-Day",4.52059760159685
11,-73.97221375,40.76557159,-73.97958374,40.73646927,1,2015,5,25,2,15,"Evening",3.29504305373081
4.9,-73.998287,40.72749,-73.989854,40.735239,2,2009,4,8,4,19,"Night",1.11684989017934
11.3,-73.980196,40.726966,-73.956413,40.77547,1,2009,6,6,7,1,"Night",5.75345846638188
7.3,-73.983758,40.74643,-73.963557,40.774088,2,2011,2,27,1,14,"Evening",3.51469546530446
14.9,-73.955268,40.782767,-73.932382,40.794812,6,2012,1,13,6,11,"Mid-Day",2.34651536374055
30.9,-73.981942,40.763977,-73.870455,40.773607,5,2012,3,16,6,7,"Morning",9.44958469739136
6.1,-73.98972,40.75238,-74.007553,40.743197,1,2012,6,18,2,20,"Night",1.81643112908358
3.3,-73.995802,40.749905,-73.994543,40.750907,1,2010,2,23,3,9,"Mid-Day",0.153822350329863
4.1,-73.991863,40.754275,-73.983796,40.753213,1,2012,1,6,6,7,"Morning",0.689689537285142
12,-73.973857,40.764185,-73.994435,40.750242,3,2014,7,21,2,14,"Evening",2.32548127974766
9,-73.991485,40.754599,-74.00497,40.751693,1,2014,8,5,3,11,"Mid-Day",1.1809549873896
2.5,-73.989142,40.720105,-73.988777,40.720662,1,2012,3,29,5,3,"Morning",0.0691535505553959
8.9,-73.98948,40.743287,-73.965692,40.754512,1,2012,6,30,7,13,"Mid-Day",2.36080792060929
10.5,-73.978991,40.72375,-73.963046,40.711855,1,2014,1,31,6,4,"Morning",1.88554461241516
5.7,-74.000552,40.727492,-74.005037,40.719123,1,2010,11,16,3,19,"Night",1.00441492003013
7,-74.002462,40.718762,-74.007071,40.705536,2,2012,12,15,7,19,"Night",1.52110572383314
12,-73.984997,40.768466,-73.944564,40.800466,1,2014,7,20,1,23,"Night",4.92439432658877
49.57,-73.982483,40.75674,-73.789985,40.64691,1,2010,5,24,2,14,"Evening",20.3093581885581
4.5,-73.947035,40.776027,-73.955498,40.764307,1,2012,8,18,7,18,"Night",1.48534897234101
7.3,-73.977897,40.762802,-73.99153,40.750252,5,2009,8,8,7,21,"Night",1.80720573246599
5.3,-73.986402,40.754723,-73.998898,40.739248,1,2010,1,8,6,0,"Night",2.01719665345807
6.9,-73.967425,40.755712,-73.983035,40.734913,5,2010,9,19,1,19,"Night",2.66047119458448
9.3,-73.971088,40.792648,-73.968405,40.769673,1,2012,5,16,4,18,"Night",2.56467187120709
6.7,-73.959669,40.779718,-73.976259,40.788413,1,2009,2,13,6,16,"Evening",1.6987581609589
9,-73.98088,40.779967,-73.953747,40.78777,1,2013,9,3,3,8,"Morning",2.44367095189055
13,-74.008125,40.738935,-73.980522,40.759953,2,2013,1,20,1,14,"Evening",3.29676795286518
19,-73.988834,40.76428,-73.941405,40.838664,1,2013,7,31,4,6,"Morning",9.18417881206566
5.5,-73.976474,40.765048,-73.964665,40.762986,1,2013,9,9,2,22,"Night",1.02063700372911
8.1,-73.996068,40.732605,-73.980675,40.761862,1,2009,1,23,6,7,"Morning",3.50214046193685
9.3,-73.973211,40.760752,-73.974265,40.788281,1,2011,2,18,6,13,"Mid-Day",3.06237152926231
18,-73.997845,40.721235,-73.988257,40.764125,1,2013,5,11,7,19,"Night",4.83707212421711
12,-73.984227,40.766897,-73.96239,40.776037,1,2014,9,13,7,12,"Mid-Day",2.10106033578106
7.3,-73.968534,40.752603,-73.992625,40.742916,1,2009,4,21,3,22,"Night",2.29757104416544
4.9,-73.95554,40.781958,-73.962196,40.772095,2,2009,9,26,7,15,"Evening",1.23162333044987
16.1,-73.789506,40.64704,-73.815622,40.680364,1,2010,5,28,6,21,"Night",4.31077047191207
12.9,-73.978602,40.76412,-74.008858,40.715637,2,2011,5,2,2,8,"Morning",5.96333336482608
4,-73.9619751,40.7761116,-73.95484924,40.77407455,1,2015,2,14,7,19,"Night",0.641366723991309
15.3,-74.006636,40.751407,-73.954979,40.765281,1,2011,5,2,2,12,"Mid-Day",4.61631329259338
11.7,-73.954497,40.769857,-73.984315,40.746007,1,2012,6,24,1,17,"Evening",3.65249004771019
25.3,-74.001343,40.74132,-73.928619,40.864267,1,2010,5,22,7,23,"Night",14.9789085474993
8.9,-73.993112,40.719911,-73.956729,40.720723,1,2010,6,30,4,2,"Night",3.06750549010195
6,-73.978778,40.753502,-73.973247,40.748147,1,2013,4,26,6,2,"Night",0.75606385033911
6,-73.99578,40.716218,-74.009132,40.72078,1,2013,5,2,5,3,"Morning",1.23432456413765
6.5,-74.003665,40.736906,-73.997843,40.724187,1,2011,1,23,1,11,"Mid-Day",1.49695479722961
7.5,-73.97733,40.74948,-73.987669,40.732709,1,2012,10,14,1,21,"Night",2.05824893791233
16.5,-74.00399017,40.74797821,-73.98319244,40.75632858,1,2015,4,30,5,14,"Evening",1.9827416096722
9.7,-73.962981,40.766443,-73.98893,40.731434,1,2012,1,8,1,19,"Night",4.46455794253954
7.7,-73.97935,40.784608,-73.963933,40.808145,1,2012,4,24,3,13,"Mid-Day",2.92129191733661
19,-73.968675,40.799103,-73.935898,40.849863,2,2014,5,9,6,9,"Mid-Day",6.28203113265065
16.9,-73.990057,40.756307,-73.949604,40.834464,1,2009,7,31,6,13,"Mid-Day",9.33401607915664
10.5,-74.002198,40.739608,-73.987342,40.720295,2,2012,11,18,1,12,"Mid-Day",2.48572155979236
8.9,-73.99633,40.753225,-73.978895,40.766963,3,2011,6,15,4,18,"Night",2.11894115990137
5.5,-74.005583,40.740728,-74.003423,40.748705,1,2012,9,6,5,13,"Mid-Day",0.905474729949756
10.9,-73.964958,40.775261,-73.949661,40.809689,1,2009,5,13,4,18,"Night",4.03900668613446
8.1,-73.9866727760817,40.7478159529101,-73.981262040066,40.7537391642468,4,2009,10,30,6,18,"Night",0.800956365113687
5.7,-73.967598,40.756242,-73.953277,40.76833,1,2010,1,17,1,22,"Night",1.80594719725366
18.1,-74.008134,40.748631,-73.952349,40.780512,2,2009,12,6,1,11,"Mid-Day",5.88554992360944
10.9,-73.95394,40.781298,-73.994423,40.75014,5,2010,6,30,4,6,"Morning",4.86079978263801
